364,1,20140503,0.9277,USD/AUD
365,4,20140503,95.02,JPY/AUD
366,3,20140503,0.6693,EUR/AUD
367,1,20140504,0.9277,USD/AUD
368,4,20140504,95.02,JPY/AUD
369,3,20140504,0.6693,EUR/AUD
370,1,20140505,0.9269,USD/AUD
371,4,20140505,94.5,JPY/AUD
372,3,20140505,0.6681,EUR/AUD
373,1,20140506,0.9286,USD/AUD
374,4,20140506,94.75,JPY/AUD
375,3,20140506,0.669,EUR/AUD
376,1,20140507,0.9344,USD/AUD
377,4,20140507,94.81,JPY/AUD
378,3,20140507,0.6713,EUR/AUD
379,1,20140508,0.9373,USD/AUD
380,4,20140508,95.41,JPY/AUD
381,3,20140508,0.6735,EUR/AUD
382,1,20140509,0.9362,USD/AUD
383,4,20140509,95.22,JPY/AUD
384,3,20140509,0.6763,EUR/AUD
385,1,20140510,0.9362,USD/AUD
386,4,20140510,95.22,JPY/AUD
387,3,20140510,0.6763,EUR/AUD
388,1,20140511,0.9362,USD/AUD
389,4,20140511,95.22,JPY/AUD
390,3,20140511,0.6763,EUR/AUD
391,1,20140512,0.9363,USD/AUD
392,4,20140512,95.47,JPY/AUD
393,3,20140512,0.6803,EUR/AUD
394,1,20140513,0.9344,USD/AUD
395,4,20140513,95.56,JPY/AUD
396,3,20140513,0.679,EUR/AUD
397,1,20140514,0.9401,USD/AUD
398,4,20140514,96.01,JPY/AUD
399,3,20140514,0.6854,EUR/AUD
400,1,20140515,0.9376,USD/AUD
401,4,20140515,95.51,JPY/AUD
402,3,20140515,0.6835,EUR/AUD
403,1,20140516,0.9354,USD/AUD
404,4,20140516,94.97,JPY/AUD
405,3,20140516,0.6821,EUR/AUD
406,1,20140517,0.9354,USD/AUD
407,4,20140517,94.97,JPY/AUD
408,3,20140517,0.6821,EUR/AUD
409,1,20140518,0.9354,USD/AUD
410,4,20140518,94.97,JPY/AUD
411,3,20140518,0.6821,EUR/AUD
412,1,20140519,0.9351,USD/AUD
413,4,20140519,94.8,JPY/AUD
414,3,20140519,0.6821,EUR/AUD
415,1,20140520,0.9288,USD/AUD
416,4,20140520,94.27,JPY/AUD
417,3,20140520,0.6774,EUR/AUD
418,1,20140521,0.9235,USD/AUD
419,4,20140521,93.49,JPY/AUD
420,3,20140521,0.6737,EUR/AUD
421,1,20140522,0.9264,USD/AUD
422,4,20140522,94.21,JPY/AUD
423,3,20140522,0.6779,EUR/AUD
424,1,20140523,0.9241,USD/AUD
425,4,20140523,93.95,JPY/AUD
426,3,20140523,0.6771,EUR/AUD
427,1,20140524,0.9241,USD/AUD
428,4,20140524,93.95,JPY/AUD
429,3,20140524,0.6771,EUR/AUD
430,1,20140525,0.9241,USD/AUD
431,4,20140525,93.95,JPY/AUD
432,3,20140525,0.6771,EUR/AUD
433,1,20140526,0.9238,USD/AUD
434,4,20140526,94.16,JPY/AUD
435,3,20140526,0.6782,EUR/AUD
436,1,20140527,0.9271,USD/AUD
437,4,20140527,94.5,JPY/AUD
438,3,20140527,0.679,EUR/AUD
439,1,20140528,0.9268,USD/AUD
440,4,20140528,94.46,JPY/AUD
441,3,20140528,0.6798,EUR/AUD
442,1,20140529,0.9283,USD/AUD
443,4,20140529,94.4,JPY/AUD
444,3,20140529,0.6825,EUR/AUD
445,1,20140530,0.9319,USD/AUD
446,4,20140530,94.66,JPY/AUD
447,3,20140530,0.6852,EUR/AUD
448,1,20140531,0.9319,USD/AUD
449,4,20140531,94.66,JPY/AUD
450,3,20140531,0.6852,EUR/AUD
451,1,20140601,0.9319,USD/AUD
452,4,20140601,94.66,JPY/AUD
453,3,20140601,0.6852,EUR/AUD
454,1,20140602,0.926,USD/AUD
455,4,20140602,94.42,JPY/AUD
456,3,20140602,0.6791,EUR/AUD
457,1,20140603,0.927,USD/AUD
458,4,20140603,94.83,JPY/AUD
459,3,20140603,0.6814,EUR/AUD
460,1,20140604,0.9274,USD/AUD
461,4,20140604,95.24,JPY/AUD
462,3,20140604,0.6811,EUR/AUD
463,1,20140605,0.9278,USD/AUD
464,4,20140605,95.16,JPY/AUD
465,3,20140605,0.6822,EUR/AUD
466,1,20140606,0.9332,USD/AUD
467,4,20140606,95.5,JPY/AUD
468,3,20140606,0.6834,EUR/AUD
469,1,20140607,0.9332,USD/AUD
470,4,20140607,95.5,JPY/AUD
471,3,20140607,0.6834,EUR/AUD
472,1,20140608,0.9332,USD/AUD
473,4,20140608,95.5,JPY/AUD
474,3,20140608,0.6834,EUR/AUD
475,1,20140609,0.9332,USD/AUD
476,4,20140609,95.5,JPY/AUD
477,3,20140609,0.6834,EUR/AUD
478,1,20140610,0.9368,USD/AUD
479,4,20140610,95.88,JPY/AUD
480,3,20140610,0.6895,EUR/AUD
481,1,20140611,0.9385,USD/AUD
482,4,20140611,96.02,JPY/AUD
483,3,20140611,0.6929,EUR/AUD
484,1,20140612,0.9391,USD/AUD
485,4,20140612,95.85,JPY/AUD
486,3,20140612,0.6936,EUR/AUD
487,1,20140613,0.9418,USD/AUD
488,4,20140613,96.04,JPY/AUD
489,3,20140613,0.6945,EUR/AUD
490,1,20140614,0.9418,USD/AUD
491,4,20140614,96.04,JPY/AUD
492,3,20140614,0.6945,EUR/AUD
493,1,20140615,0.9418,USD/AUD
494,4,20140615,96.04,JPY/AUD
495,3,20140615,0.6945,EUR/AUD
496,1,20140616,0.9412,USD/AUD
497,4,20140616,95.8,JPY/AUD
498,3,20140616,0.6948,EUR/AUD
499,1,20140617,0.9352,USD/AUD
500,4,20140617,95.37,JPY/AUD
501,3,20140617,0.6896,EUR/AUD
502,1,20140618,0.9337,USD/AUD
503,4,20140618,95.47,JPY/AUD
504,3,20140618,0.6893,EUR/AUD
505,1,20140619,0.9401,USD/AUD
506,4,20140619,95.8,JPY/AUD
507,3,20140619,0.6918,EUR/AUD
508,1,20140620,0.9405,USD/AUD
509,4,20140620,95.84,JPY/AUD
510,3,20140620,0.6902,EUR/AUD
511,1,20140621,0.9405,USD/AUD
512,4,20140621,95.84,JPY/AUD
513,3,20140621,0.6902,EUR/AUD
514,1,20140622,0.9405,USD/AUD
515,4,20140622,95.84,JPY/AUD
516,3,20140622,0.6902,EUR/AUD
517,1,20140623,0.9439,USD/AUD
518,4,20140623,96.22,JPY/AUD
519,3,20140623,0.6936,EUR/AUD
520,1,20140624,0.9422,USD/AUD
521,4,20140624,96.07,JPY/AUD
522,3,20140624,0.693,EUR/AUD
523,1,20140625,0.9358,USD/AUD
524,4,20140625,95.35,JPY/AUD
525,3,20140625,0.6877,EUR/AUD
526,1,20140626,0.9406,USD/AUD
527,4,20140626,95.71,JPY/AUD
528,3,20140626,0.6897,EUR/AUD
529,1,20140627,0.9437,USD/AUD
530,4,20140627,95.68,JPY/AUD
